"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","100 µF / 25V","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C2","1","100 µF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C3","1","100 nF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C4,C5","2","22 pF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C6,C7,C8,C9,C10","5","1 µF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"D1,D3","2","1N5819","","","","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","~"
"D2,D4","2","LED","","","","LED_THT:LED_D5.0mm","~"
"J1","1","VIN (9-24V)","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"J2","1","DE9_Socket_MountingHoles","","","","Connector_Dsub:DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset14.56mm_Housed_MountingHolesOffset15.98mm","~"
"J3","1","SINAL_12V","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"M1","1","Motor_DC","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"Q1","1","IRLZ44N","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf"
"Q2","1","2N2222","","","","Package_TO_SOT_THT:TO-92_Inline","~"
"R1,R2,R3,R5","4","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R4","1","220","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R6","1","330","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"SW1","1","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"U1","1","ATmega328P-A","","","","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
"U2","1","MAX232","","","","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/max232.pdf"
"U4","1","LM7805_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"Y1","1","16 MHz","","","","Crystal:Crystal_HC49-U_Vertical","~"
